timestamp_sec,time,chord
0.372,00:00,N
0.464,00:00,Gm
2.972,00:02,Bb
5.016,00:05,F
6.409,00:06,Bb
15.511,00:15,Eb
18.483,00:18,Bb
26.285,00:26,F
29.536,00:29,Gm7
31.579,00:31,Eb
33.158,00:33,F
34.551,00:34,Bb
43.746,00:43,Gm7
47.183,00:47,F
48.855,00:48,Gm7
50.898,00:50,Bb
57.585,00:57,Ab6
61.301,01:01,Gm7
64.923,01:04,Ab6
68.452,01:08,F6
73.282,01:13,Eb6
75.418,01:15,F
77.183,01:17,Bb
80.713,01:20,Eb6
82.384,01:22,F
84.242,01:24,C
85.821,01:25,Ebm7
86.843,01:26,D
87.493,01:27,Gm7
89.536,01:29,Eb6
91.022,01:31,F7
91.858,01:31,D/F#
92.880,01:32,Gm7
93.994,01:33,C#6
94.737,01:34,Ab6
96.502,01:36,Bb7
97.988,01:37,Eb/F
99.010,01:39,Bb
102.725,01:42,Eb
105.140,01:45,F
106.812,01:46,Bb
108.484,01:48,Gm7
110.527,01:50,Eb
112.013,01:52,F
113.871,01:53,Bbmaj7
117.307,01:57,Am7b5/G
118.979,01:58,F
120.837,02:00,Bb
123.995,02:03,F/Eb
126.131,02:06,F
127.803,02:07,Bb
128.639,02:08,F
129.753,02:09,Gm
130.868,02:10,Eb
133.004,02:13,F
136.440,02:16,Eb6
138.577,02:18,F
140.063,02:20,Ebmaj7
141.177,02:21,Gm7
143.778,02:23,Eb
145.450,02:25,F
147.215,02:27,C/E
148.979,02:28,D
150.558,02:30,Gm7
152.509,02:32,Bb
154.088,02:34,D/F#
155.945,02:35,Gm7
157.803,02:37,Ab6
161.332,02:41,F7
164.862,02:44,Eb
168.298,02:48,Dm7
169.691,02:49,Gm7
171.921,02:51,Ab/Gb
173.407,02:53,C#maj7
175.171,02:55,Bmaj7
177.029,02:57,F
178.701,02:58,Ebmaj7
182.137,03:02,Bbmaj7
185.760,03:05,Ab
187.524,03:07,Eb/G
189.289,03:09,F
195.976,03:15,Gm7
197.462,03:17,Eb
199.506,03:19,F
200.806,03:20,Bb
206.658,03:26,F
207.772,03:27,Bb
213.438,03:33,N
